text,label
"tinder may terminate your account at any time without notice if it believes that you have violated this agreement . 
",1
"though tinder strives to encourage a respectful user experience through features like the double opt-in that only allows users to communicate if they have both indicated interest in one another , it is not responsible for the conduct of any user on or off of the services . 
",0
"the company may investigate and take any available legal action in response to illegal and / or unauthorized uses of the service , including termination of your account . 
",1
"if we feel that your behavior towards any of our customer care representatives or other employees is at any time threatening or offensive , we reserve the right to immediately terminate your account . 
",1
"tinder reserves the right to investigate and / or terminate your account without a refund of any purchases if you have misused the service or behaved in a way that tinder regards as inappropriate or unlawful , including actions or communications that occur off the service but involve users you meet through the service . 
",1
"if you initiate a chargeback or otherwise reverse a payment made with your payment method , tinder may terminate your account immediately in its sole discretion . 
",1
"tinder shall have no liability to you or any third party in the event that tinder exercises any such rights . 
",0
"you acknowledge that tinder is not required to provide a refund for any reason , and that you will not receive money or other compensation for unused virtual items when an account is closed , whether such closure was voluntary or involuntary . 
",0
"tinder does not represent or warrant that ( a ) the service will be uninterrupted , secure or error free , ( b ) any defects or errors in the service will be corrected , or ( c ) that any content or information you obtain on or through the services will be accurate . 
",0
"tinder takes no responsibility for any content that you or another user or third party posts , sends or receives through the services . 
",0
"tinder is not responsible or liable for such third parties ' terms or actions . 
",0
"to the fullest extent permitted by applicable law , in no event will tinder , its affiliates , employees , licensors or service providers be liable for any indirect , consequential , exemplary , incidental , special or punitive damages , including , without limitation , loss of profits , whether incurred directly or indirectly , or any loss of data , use , goodwill , or other intangible losses , resulting from : ( i ) your access to or use of or inability to access or use the services , ( ii ) the conduct or content of other users or third parties on , through , or following use of the services ; or ( iii ) unauthorized access , use or alteration of your content , even if tinder has been advised of the possibility of such damages . 
",0
"in no event will tinder 's aggregate liability to you for all claims relating to the service exceed the amount paid , if any , by you to tinder for the service while you have an account . 
",0
"your right to use the service is subject to any limitations , conditions and restrictions established by us from time to time , in our sole discretion . 
",1
"if your account is seen to be dormant ( showing no transactions ) for 18 months or more , we reserve the right to terminate your account . 
",1
"we expressly exclude , to the fullest extent permitted by law , all liability of betterpoints.uk , its directors , employees or other representatives , howsoever arising , for any loss suffered as a result of your use of this website or involvement in any way with betterpoints.uk . 
",0
"betterpoints.uk is also not responsible or liable for any reputational goodwill damage or loss to you through being associated with betterpoints.uk by being a member , partner , merchant or any other involvement with betterpoints.uk . 
",0
"we may , in our sole discretion , terminate or suspend your access to all or part of the service at any time , with or without notice , for any reason , including , without limitation , breach of this agreement . 
",1
"without limiting the generality of the foregoing , any fraudulent , abusive , or otherwise illegal activity , or that may otherwise affect the enjoyment of the service or the internet by others may be grounds for termination of your access to all or part of the service at our sole discretion , and you may be referred to appropriate law enforcement agencies . 
",1
"you acknowledge that we are not responsible for suspension of the service , regardless of the cause of the interruption or suspension . 
",0
"these are provided for your convenience and we are not responsible for and do not give any warranties or make any representations regarding any external links and are not responsible for or liable in relation to the content or your use of any external links . 
",0
"we are not responsible for and do not give any warranties or make any representations regarding any causes that are introduced and do not give any warranties and are not responsible for or liable in relation to involvement in these causes or any outcome from any involvement . 
",0
"betterpoints.uk is also not responsible or liable for any reputational and goodwill damage or loss to you through being associated with betterpoints.uk by being a member , partner , merchant or any other involvement with betterpoints.uk within the area of causes . 
",0
"betterpoints.uk is also not responsible or liable for any reputational and goodwill damage or loss to you through being associated with betterpoints.uk by being a member , partner , merchant or any other involvement with betterpoints.uk within the area of transfer of funds . 
",0
"we expressly exclude , to the fullest extent permitted by law , all liability of betterpoints.uk , its directors , employees or other representatives , howsoever arising , for any loss suffered as a result of your use of this website or involvement in any way with betterpoints.uk . 
",0
"subject as provided below , neither deliveroo nor any partner restaurant shall have have any liability to you for any direct , indirect , special or consequential losses or damages arising in contract , tort ( including negligence ) or otherwise arising from your use of or your inability to use our service . 
",0
"in the event that deliveroo or the partner restaurant is found to be liable to you our total aggregate liability is limited to the purchase price of the meals you have paid for in your order . 
",0
"we will not be liable if , for any reason , our site or our service is unavailable at any time or for any period . 
",0
"we can deactivate your account at any time . 
",1
"however , we will not be responsible for any errors or omissions in relation to such content or for any technical problems you may experience with our site or our service . 
",0
"to the extent permitted by law , we exclude all liability ( whether arising in contract , in negligence or otherwise ) for loss or damage which you or any third party may incur in connection with our site , our service , and any website linked to our site and any materials posted on it . 
",0
"9gag , inc may also impose limits on certain features and services or restrict subscriber 's access to parts or all of the services without notice or liability . 
",0
"you agree that neither 9gag , inc nor the site will be liable in any event to you or any other party for any suspension , modification , discontinuance or lack of availability of the site , the service , your subscriber content or other content . 
",0
"9gag , inc retains the right to create limits on use and storage in its sole discretion at any time with or without notice . 
",1
"any fraudulent , abusive , or otherwise illegal activity or any use of the services or content in violation of this agreement may be grounds for termination of subscriber 's right to services or to access the site . 
",1
"to the fullest extent allowed by law , 9gag , inc disclaims any liability or responsibility for the accuracy , reliability , availability , completeness , legality or operability of the material or services provided on this site . 
",0
"by using this site , you acknowledge that 9gag , inc is not responsible or liable for any harm resulting from ( 1 ) use of the site ; ( 2 ) downloading information contained on the site including but not limited to downloads of content posted by subscribers ; ( 3 ) unauthorized disclosure of images , information or data that results from the upload , download or storage of content posted by subscribers ; ( 4 ) the temporary or permanent inability to access or retrieve any subscriber content from the site , including , without limitation , harm caused by viruses , worms , trojan horses , or any similar contamination or destructive program . 
",0
"in no event shall 9gag , inc , its directors , officers , shareholders , employees or members be liable with respect to the site or the services for ( a ) any indirect , incidental , punitive , or consequential damages of any kind whatsoever ; ( b ) damages for loss of use , profits , data , images , subscriber content or other intangibles ; ( c ) damages for unauthorized use , non-performance of the site , errors or omissions ; or ( d ) damages related to downloading or posting content . 
",0
